time,base_rate
2020-03-17,0.75
2019-10-16,1.25
2019-07-18,1.5
2018-11-30,1.75
2017-11-30,1.5
2016-06-09,1.25
2015-06-11,1.5
2015-03-12,1.75
2014-10-15,2
2014-08-14,2.25
2013-05-09,2.5
2012-10-11,2.75
2012-07-12,3
2011-06-10,3.25
2011-03-10,3
2011-01-13,2.75
2010-11-16,2.5
2010-07-09,2.25
2009-02-12,2
2009-01-09,2.5
2008-12-11,3
2008-11-07,4
2008-10-27,4.25
2008-10-09,5
2008-08-07,5.25
2007-08-09,5
2007-07-12,4.75
2006-08-10,4.5
2006-06-08,4.25
2006-02-09,4
2005-12-08,3.75
2005-10-11,3.5
2004-11-11,3.25
2004-08-12,3.5
2003-07-10,3.75
2003-05-13,4
2002-05-07,4.25
2001-09-19,4
2001-08-09,4.5
2001-07-05,4.75
2001-02-08,5
2000-10-05,5.25
2000-02-10,5
1999-05-06,4.75
